[2007-11-16 09:21:57] [Default Rotate_flip param] [stID:001939; seID:1] [  OnChangeImagePlane] [An:270.000000; VF:1; HF:0]
[2007-11-16 09:21:57] [        Create New Series] [stID:001939; seID:1] [   GetSeriesViewData] [An:269.999695; VF:1; HF:0]
[2007-11-16 09:21:57] [     Rotate or Flip Image] [stID:001939; seID:1] [       RotateAndFlip] [An:269.999695; VF:1; HF:0]
[2007-11-16 09:22:20] [          Rotate by Mouse] [stID:001939; seID:1] [         OnMouseMove] [An:581.000669; VF:1; HF:0]
[2007-11-16 09:22:20] [     Rotate or Flip Image] [stID:001939; seID:1] [       RotateAndFlip] [An:581.000003; VF:1; HF:0]
[2007-11-16 09:22:21] [          Rotate by Mouse] [stID:001939; seID:1] [         OnMouseMove] [An:582.824758; VF:1; HF:0]
[2007-11-16 09:22:21] [     Rotate or Flip Image] [stID:001939; seID:1] [       RotateAndFlip] [An:582.824091; VF:1; HF:0]
[2007-11-16 09:22:22] [          Rotate by Mouse] [stID:001939; seID:1] [         OnMouseMove] [An:607.194879; VF:1; HF:0]
[2007-11-16 09:22:22] [     Rotate or Flip Image] [stID:001939; seID:1] [       RotateAndFlip] [An:607.194183; VF:1; HF:0]
[2007-11-16 09:22:22] [          Rotate by Mouse] [stID:001939; seID:1] [         OnMouseMove] [An:607.194879; VF:1; HF:0]
[2007-11-16 09:22:40] [          Rotate by Mouse] [stID:001939; seID:1] [         OnMouseMove] [An:607.424950; VF:1; HF:0]
[2007-11-16 09:22:40] [     Rotate or Flip Image] [stID:001939; seID:1] [       RotateAndFlip] [An:607.424254; VF:1; HF:0]
